Actions,Name,Status,Cost,Publisher Revenue,Profit,ROI,CPA,EPA
"=""""","=""S1 - PA - Celulares baratos - celulares-baratos.xyz (Dinamico)""","=""RUNNING""","=""15.6""","=""7.47""","=""-8.129999999999999""","=""-52.115384615384606""","=""0.04984025559105431""","=""0.02386581469648562"""
"=""""","=""S1 - UY - Cursos tecnicos online - cursos-tecnicos-online.xyz""","=""PAUSED""","=""15.23""","=""3.6100000000000003""","=""-11.620000000000001""","=""-76.29678266579121""","=""0.2719642857142857""","=""0.06446428571428572"""
"=""""","=""S1 - IND - Joyas Oro Remate - clearance-jewelry.xyz""","=""PAUSED""","=""15.19""","=""3.76""","=""-11.43""","=""-75.24687294272547""","=""0.04915857605177994""","=""0.012168284789644013"""
"=""""","=""S1 - IND - Préstamos rápidos - online-loans-inf.xyz (Hindi)""","=""PAUSED""","=""13.92""","=""8.4""","=""-5.52""","=""-39.655172413793096""","=""0.041305637982195845""","=""0.024925816023738872"""
"=""""","=""S1 - UY/PAY/ARG - Curso IA Gratis - cursos-de-ia-gratis.xyz - DINAMICO""","=""PAUSED""","=""12.74""","=""5.19""","=""-7.55""","=""-59.26216640502354""","=""0.11078260869565218""","=""0.0451304347826087"""
"=""""","=""S1 - SIE LEO - Curso IA gratis - free-ai-courses-intl.xyz""","=""PAUSED""","=""12.53""","=""6.41""","=""-6.119999999999999""","=""-48.84277733439744""","=""0.10104838709677419""","=""0.05169354838709678"""
"=""""","=""S1 - EC - Préstamos estatales - prestamos-estatales.xyz""","=""PAUSED""","=""11.37""","=""7.87""","=""-3.499999999999999""","=""-30.78276165347405""","=""0.029609374999999997""","=""0.020494791666666668"""
"=""""","=""S1 - MEX - Tarjetas de Credito -  tarjetas-de-credito-para-jovenes.xyz (2)""","=""PAUSED""","=""9.72""","=""12.090000000000002""","=""2.370000000000001""","=""24.382716049382726""","=""0.10451612903225807""","=""0.13"""
"=""""","=""S1 - ZIMB - Prestamos estatales - state-loans-intl.xyz""","=""PAUSED""","=""9.34""","=""2.35""","=""-6.99""","=""-74.83940042826552""","=""0.08265486725663716""","=""0.02079646017699115"""
"=""""","=""S1 - ZIMB - Curso IA gratis - free-ai-courses-intl.xyz""","=""PAUSED""","=""9.34""","=""3.12""","=""-6.22""","=""-66.59528907922912""","=""0.12794520547945204""","=""0.042739726027397264"""
"=""""","=""S1 - BOTSW - Curso IA gratis - free-ai-courses-intl.xyz""","=""PAUSED""","=""8.65""","=""2.35""","=""-6.300000000000001""","=""-72.83236994219654""","=""0.21625""","=""0.058750000000000004"""
"=""""","=""S1 - PAY - Cursos tecnicos online - cursos-tecnicos-online.xyz""","=""PAUSED""","=""7.67""","=""1.65""","=""-6.02""","=""-78.4876140808344""","=""0.2072972972972973""","=""0.04459459459459459"""
