0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Date,Campaign Domain,Total Sessions,Mobile Sessions,Desktop Sessions,Mobile Sessions %,Distinct IPs,Distinct Mobile IPs,Distinct Desktop IPs,Distinct Mobile IPs %,Searches,Clicks,Estimated Gross Revenue,Revenue Per Session,Revenue Per Search,Revenue Per IP,Revenue Per Click,Clicks Per Session %
2023-09-30,a-prime-de-credit-cards.fyi,15,5,10,33.33,14,5,9,35.71,0,0,0,0,0,0,0,0
2023-09-30,a-prime-dinero-falso-mx.fyi,24,11,13,45.83,14,2,12,14.29,0,0,0,0,0,0,0,0
2023-09-30,a-prime-ecuador-cursos-de-marketing-digital.fyi,17,3,14,17.65,12,1,11,8.33,0,0,0,0,0,0,0,0
2023-09-30,a-prime-es-aprende-ingles.fyi,10,4,6,40,10,4,6,40,0,0,0,0,0,0,0,0
2023-09-30,a-prime-es-codificacion.zone,21,7,14,33.33,15,5,12,33.33,0,0,0,0,0,0,0,0
2023-09-30,a-prime-es-prueba-de-ascendencia.fyi,12,6,6,50,10,4,6,40,0,0,0,0,0,0,0,0
2023-09-30,a-prime-es-tarjetas-de-credito.zone,15,4,11,26.67,12,2,10,16.67,0,0,0,0,0,0,0,0
2023-09-30,a-prime-estudia-y-trabaja-en-canada-ecuador.fyi,13,5,8,38.46,11,3,8,27.27,0,0,0,0,0,0,0,0
2023-09-30,a-prime-estudia-y-trabaja-en-canada-mexico.fyi,24,6,18,25,23,6,17,26.09,0,0,0,0,0,0,0,0
2023-09-30,a-prime-fr-vehicules-doccasion.zone,20,6,14,30,18,4,14,22.22,0,0,0,0,0,0,0,0
2023-09-30,a-prime-gt-autos-usados-de-usa.fyi,16,4,12,25,12,2,10,16.67,0,0,0,0,0,0,0,0
2023-09-30,a-prime-gt-visa-de-viaje.fyi,14,6,8,42.86,13,6,7,46.15,0,0,0,0,0,0,0,0
2023-09-30,a-prime-hn-universidades.fyi,175,165,10,94.29,147,139,8,94.56,209,131,26.8,0.15,0.13,0.18,0.2,74.86
2023-09-30,a-prime-in-bikes.fyi,19,7,12,36.84,17,5,12,29.41,0,0,0,0,0,0,0,0
2023-09-30,a-prime-in-home-loans.fyi,10,5,5,50,10,5,5,50,0,0,0,0,0,0,0,0
2023-09-30,a-prime-in-top-paying-jobs.fyi,13,0,13,0,11,0,11,0,0,0,0,0,0,0,0,0
2023-09-30,a-prime-india-stock-trading-for-beginners.fyi,17,6,11,35.29,15,4,11,26.67,0,0,0,0,0,0,0,0
2023-09-30,a-prime-india-tax-free-investing.fyi,26,8,18,30.77,24,8,16,33.33,0,0,0,0,0,0,0,0
2023-09-30,a-prime-india-televisions.fyi,12,2,10,16.67,11,2,9,18.18,0,0,0,0,0,0,0,0
2023-09-30,a-prime-intl-real-estate.fyi,119,78,41,65.55,81,54,27,66.67,22,10,1.18,0.01,0.05,0.01,0.12,8.4
2023-09-30,a-prime-invertir.zone,18,7,11,38.89,16,5,11,31.25,0,0,0,0,0,0,0,0
2023-09-30,a-prime-ke-used-cars.fyi,17,3,14,17.65,12,3,9,25,0,0,0,0,0,0,0,0
2023-09-30,a-prime-latam-prestamos-personales.fyi,21,5,16,23.81,15,5,10,33.33,0,0,0,0,0,0,0,0
2023-09-30,a-prime-moneda-de-oro-mx.fyi,30,6,24,20,22,6,17,27.27,0,0,0,0,0,0,0,0
2023-09-30,a-prime-mx-cadena-de-bloques.fyi,18,7,11,38.89,16,7,9,43.75,0,0,0,0,0,0,0,0
2023-09-30,a-prime-mx-criptomoneda.fyi,14,3,11,21.43,14,3,11,21.43,0,0,0,0,0,0,0,0
2023-09-30,a-prime-mx-cursos-ingles-en-linea.zone,15,7,8,46.67,13,5,8,38.46,0,0,0,0,0,0,0,0
2023-09-30,a-prime-mx-metodologias-agiles.fyi,16,2,14,12.5,13,2,11,15.38,0,0,0,0,0,0,0,0
2023-09-30,a-prime-mx-perdida-de-peso.fyi,21,8,13,38.1,16,6,10,37.5,0,0,0,0,0,0,0,0
2023-09-30,a-prime-mx-portatil-de-navidad.zone,14,7,7,50,12,5,7,41.67,0,0,0,0,0,0,0,0
2023-09-30,a-prime-mx-portatil-para-juegos.zone,24,14,10,58.33,22,12,10,54.55,0,0,0,0,0,0,0,0
2023-09-30,a-prime-mx-seguridad-de-casa.fyi,185,174,11,94.05,166,155,11,93.37,96,46,4.45,0.02,0.05,0.03,0.1,24.86
2023-09-30,a-prime-mx-sitio-web-gratuito.fyi,24,5,19,20.83,15,3,12,20,0,0,0,0,0,0,0,0
2023-09-30,a-prime-mx-suv-usadas.fyi,30,23,7,76.67,7,1,6,14.29,0,0,0,0,0,0,0,0
2023-09-30,a-prime-mx-tarjetas-de-credito.fyi,14,2,12,14.29,12,2,10,16.67,0,0,0,0,0,0,0,0
2023-09-30,a-prime-mx-telefono-inteligente.fyi,8,2,6,25,8,2,6,25,0,0,0,0,0,0,0,0
2023-09-30,a-prime-mx-trabajos-de-prueba.fyi,32,25,7,78.13,8,2,6,25,0,0,0,0,0,0,0,0
2023-09-30,a-prime-mx-trabajos.fyi,7,2,5,28.57,7,2,5,28.57,0,0,0,0,0,0,0,0
2023-09-30,a-prime-mx-uni-en-linea.fyi,288,258,30,89.58,260,237,25,91.15,200,103,22.37,0.08,0.11,0.09,0.22,35.76
2023-09-30,a-prime-ne-electric-bikes.zone,35,28,7,80,10,3,7,30,0,0,0,0,0,0,0,0
2023-09-30,a-prime-negocio-online-ar.fyi,17,4,13,23.53,16,4,12,25,0,0,0,0,0,0,0,0
2023-09-30,a-prime-ng-jobs.fyi,13,3,10,23.08,13,3,10,23.08,0,0,0,0,0,0,0,0
2023-09-30,a-prime-ng-jobs.zone,24,5,19,20.83,21,3,18,14.29,0,0,0,0,0,0,0,0
